inc.first,inc.last,inc.elected,inc.birth,gender,ethnicity,religion,open.lgbtq
Gene,Green,1992,1947,Man,White - Non-Hispanic,Methodist,No
Morgan,Griffith,2010,1958,Man,White - Non-Hispanic,Episcopalian,No
Raúl,Grijalva,2002,1948,Man,Hispanic - Mexican,Roman Catholic,No
Glenn,Grothman,2014,1955,Man,White - Non-Hispanic,Lutheran,No
Brett,Guthrie,2008,1964,Man,White - Non-Hispanic,Churches of Christ,No
Luis,Gutiérrez,1992,1953,Man,Hispanic - Puerto Rican,Roman Catholic,No
Colleen,Hanabusa,2016,1951,Woman,Asian - Japanese,Jodo Shinshu Buddhist,No
Karen,Handel,2017 Special,,Woman,White - Non-Hispanic,,No
Gregg,Harper,2008,1956,Man,White - Non-Hispanic,Southern Baptist,No
Andy,Harris,2010,1957,Man,White - Non-Hispanic,Roman Catholic,No
Vicky,Hartzler,2010,1960,Woman,White - Non-Hispanic,Evangelical,No
Alcee,Hastings,1992,1936,Man,Black - African-American,African Methodist,No
Denny,Heck,2012,1952,Man,White - Non-Hispanic,Lutheran,No
Jeb,Hensarling,2002,1957,Man,White - Non-Hispanic,Episcopalian,No
Jaime,Herrera Beutler,2010,1978,Woman,Hispanic,Christian,No
Jody,Hice,2014,1960,Man,White - Non-Hispanic,Southern Baptist,No
Brian,Higgins,2004,1959,Man,White - Non-Hispanic,Roman Catholic,No
Clay,Higgins,2016,1961/1962,Man,White - Non-Hispanic,,No
French,Hill,2014,1956,Man,White - Non-Hispanic,Roman Catholic,No
Jim,Himes,2008,1966,Man,White - Non-Hispanic,Presbyterian,No
George,Holding,2012,1968,Man,White - Non-Hispanic,Southern Baptist,No
Trey,Hollingsworth,2016,1983,Man,White - Non-Hispanic,,No
Steny,Hoyer,1981 Special,1939,Man,White - Non-Hispanic,Baptist,No
Richard,Hudson,2012,1971,Man,White - Non-Hispanic,Christian,No
Jared,Huffman,2012,1964,Man,White - Non-Hispanic,Unspecified,No
Bill,Huizenga,2010,1969,Man,White - Non-Hispanic,Christian Reformed,No
Randy,Hultgren,2010,1966,Man,White - Non-Hispanic,Evangelical,No
Duncan,Hunter,2008,1976,Man,White - Non-Hispanic,Southern Baptist,No
Will,Hurd,2014,1977,Man,Black - African-American,Christian,No
Darrell,Issa,2000,1953,Man,White - Non-Hispanic,Eastern Orthodox,No
Shelia,Jackson Lee,1994,1950,Woman,Black - African-American,Seventh-Day Adventist,No
Pramila,Jayapal,2016,1965,Woman,Asian - Indian,Hindu,No
Hakeem,Jeffries,2012,1970,Man,Black - African-American,Baptist,No
Evan,Jenkins,2014,1960,Man,White - Non-Hispanic,Presbyterian,No
Lynn,Jenkins,2008,1963,Woman,White - Non-Hispanic,Methodist,No
Bill,Johnson,2010,1954,Man,White - Non-Hispanic,Protestant,No
Eddie Bernice,Johnson,1992,1935,Woman,Black - African-American,Baptist,No
Hank,Johnson,2006,1954,Man,Black - African-American,Soka Gakkai Buddhist,No
Mike,Johnson,2016,1972,Man,White - Non-Hispanic,Southern Baptist,No
Sam,Johnson,1991 Special,1930,Man,White - Non-Hispanic,Methodist,No
Walter,Jones,1994,1943,Man,White - Non-Hispanic,Roman Catholic,No
Jim,Jordan,2006,1964,Man,White - Non-Hispanic,Christian,No
David,Joyce,2012,1957,Man,White - Non-Hispanic,Roman Catholic,No
Marcy,Kaptur,1982,1946,Woman,White - Non-Hispanic,Roman Catholic,No
John,Katko,2014,1962,Man,White - Non-Hispanic,Roman Catholic,No
Bill,Keating,2010,1952,Man,White - Non-Hispanic,Roman Catholic,No
Mike,Kelly,2010,1948,Man,White - Non-Hispanic,Roman Catholic,No
Robin,Kelly,2013 Special,1956,Woman,Black - African-American,Christian,No
Trent,Kelly,2015 Special,1966,Man,White - Non-Hispanic,Methodist,No
Joe,Kennedy,2012,1980,Man,White - Non-Hispanic,Roman Catholic,No
Ro,Khanna,2016,1976,Man,Asian - Indian,Hindu,No
Ruben,Kihuen,2016,1980,Man,Hispanic - Mexican,Roman Catholic,No
Dan,Kildee,2012,1958,Man,White - Non-Hispanic,Roman Catholic,No
Derek,Kilmer,2012,1974,Man,White - Non-Hispanic,Methodist,No
Ron,Kind,1996,1963,Man,White - Non-Hispanic,Lutheran,No
Pete,King,1992,1944,Man,White - Non-Hispanic,Roman Catholic,No
Steve,King,2002,1949,Man,White - Non-Hispanic,Roman Catholic,No
Adam,Kinzinger,2010,1978,Man,White - Non-Hispanic,Protestant,No
Steve,Knight,2014,1966,Man,White - Non-Hispanic,Roman Catholic,No
Raja,Krishnamoorthi,2016,1972/1973,Man,Asian - Indian,Hindu,No
Annie,Kuster,2012,1956,Woman,White - Non-Hispanic,Episcopalian,No
David,Kustoff,2016,1966,Man,White - Non-Hispanic,Jewish,No
Raúl,Labrador,2010,1967,Man,Hispanic - Puerto Rican,Mormon,No
Darin,LaHood,2015 Special,1968,Man,White - Non-Hispanic,Roman Catholic,No
Doug,LaMalfa,2012,1960,Man,White - Non-Hispanic,Christian,No
