District,party,white,black,latino,asian,native,other,college,college.rank,white.college,white.college.rank,income.med,income.rank,pop,white.raw,black.raw,hisp.raw,asian.raw,native.raw,other.raw,pop.vap,white.vap,black.vap,hisp.vap,asian.vap,native.vap,other.vap
Minnesota 1st,Democratic,90.86870398,1.913171158,4.186892363,2.127086965,0.240828434,0.6633171,28.2,227,28.9,279,57189,182,662237,585535,15273,36604,14946,1566,8313,505339,459195,9668,21158,10749,1217,3352
Minnesota 2nd,Republican,87.14732638,3.012721892,4.250928346,4.013873185,0.436214449,1.138935744,37.8,93,39.4,135,77122,57,662780,558248,23765,35469,28060,3022,14216,485541,423136,14628,20640,19489,2118,5530
Minnesota 3rd,Republican,84.29704337,5.410392574,3.006332616,5.794132621,0.288157182,1.203941636,48,28,50,55,81788,36,663654,537250,42984,25281,41306,1961,14872,496951,418915,26887,14940,28794,1432,5983
Minnesota 4th,Democratic,76.34878973,7.9059562,5.054130138,8.542582971,0.570365212,1.578175744,43.2,50,48.1,65,63638,122,664041,471349,61120,41722,68289,3812,17749,504063,384846,39851,25476,43060,2875,7955
Minnesota 5th,Democratic,70.95655628,12.93268056,7.459634303,5.326973604,1.09392185,2.230233411,45.1,37,53.7,40,56752,188,662883,430805,101629,61998,37615,7978,22858,523712,371608,67730,39067,27898,5729,11680
Minnesota 6th,Republican,92.9484484,1.804834296,1.791784306,2.204826839,0.392742549,0.857363612,29.3,205,29.4,267,73227,69,661656,604208,13764,15319,15388,2510,10467,482759,448717,8713,8650,10644,1896,4139
Minnesota 7th,Democratic,92.92509847,0.589344322,2.746316845,0.746423675,2.170425163,0.822391523,21.6,344,22.5,385,54481,216,663326,601672,4850,25270,5295,17151,9088,505477,469715,2979,13882,3773,10971,4157
Minnesota 8th,Democratic,94.28161699,0.820123251,0.973411883,0.573233596,2.281306926,1.070307352,22.3,334,22.9,378,52179,241,663348,616075,5756,8595,3957,17421,11544,516020,486512,4232,5023,2958,11772,5523
Mississippi 1st,Republican,71.45373478,24.52224466,2.548931757,0.661757533,0.201255226,0.612076036,19.9,374,22.2,391,43910,364,741837,510852,194586,22647,4845,1446,7461,553526,395515,135737,14109,3663,1114,3388
Mississippi 2nd,Democratic,35.70125293,61.13532861,1.808403411,0.544617829,0.309186954,0.501210262,17.7,405,23.6,364,32152,432,741862,239425,477582,13682,3764,2420,4989,543684,194102,332383,9832,2961,1681,2725
Mississippi 3rd,Republican,63.25929646,32.26585127,2.171250258,0.911039176,0.840738516,0.55182432,25.2,278,30.1,254,42817,374,741822,449767,254546,17169,6799,7404,6137,557605,352737,179916,12107,5080,4688,3077
Mississippi 4th,Republican,72.88064684,20.8670077,3.398829649,1.52030697,0.351392552,0.981816288,20.4,367,22.5,385,42383,383,741776,522243,166798,27983,11017,2575,11160,556927,405892,116214,18929,8467,1957,5468
Missouri 1st,Democratic,47.27706993,45.49328192,2.690707592,2.801705794,0.21105292,1.526181853,30.5,179,42.7,99,42145,389,748540,319451,368775,22783,19440,1534,16557,575685,272167,261898,15490,16129,1215,8786
Missouri 2nd,Republican,90.18974242,3.104558324,1.971832954,3.703147352,0.146372222,0.884346731,47.2,31,47.2,71,77477,53,748401,664294,24801,17629,29374,1117,11186,572513,516348,17774,11289,21201,838,5063
Missouri 3rd,Republican,93.1681839,3.0611665,1.730286315,0.865587139,0.292495285,0.882280859,24.5,291,24.2,356,57578,176,748398,688887,23839,15989,6734,2133,10816,563086,524617,17237,9743,4874,1647,4968
Missouri 4th,Republican,89.7040164,4.322978032,2.614213906,1.492292784,0.484881865,1.381617017,25.2,278,24.6,350,45735,348,749315,661410,33714,24278,10807,3622,15484,573748,514675,24803,14999,8562,2782,7927
Missouri 5th,Democratic,69.0292639,20.24872466,6.831229583,1.831607397,0.429477931,1.629696536,27.2,241,31.6,234,46396,342,748737,488072,162753,62467,13701,3099,18645,569063,392820,115228,38874,10423,2444,9274
Missouri 6th,Republican,91.19140898,3.649164674,2.677789009,1.152302569,0.344327623,0.985007143,27.3,238,27.5,303,56422,193,748760,671952,28069,24951,8941,2523,12324,564869,515112,20613,15126,6509,1945,5564
Missouri 7th,Republican,91.53447491,1.485975418,3.3293063,1.222117169,0.893126029,1.535000175,24,304,24.7,348,43823,366,748406,671805,11760,32310,9506,6987,16038,571140,522790,8487,19015,6980,5101,8767
Missouri 8th,Republican,92.56627723,4.110836137,1.268950988,0.624360162,0.422925528,1.006649959,15.6,418,15.7,433,40327,404,748370,684877,33438,12063,4481,3047,10464,573387,530763,23571,7276,3580,2425,5772
Montana At-Large,Republican,89.98971081,0.341710931,2.274590913,0.692300862,5.085708466,1.615978022,30.6,177,32,228,49509,288,989415,868628,3743,28565,6747,59902,21830,765852,689188,2617,17420,5302,38949,12376
Nebraska 1st,Republican,87.86707562,2.255807921,5.807593623,2.082938218,0.947840437,1.038744177,29.9,192,31.2,240,54647,215,608065,516832,14907,45360,12787,6909,11270,458727,403070,10348,26641,9555,4348,4765
Nebraska 2nd,Republican,78.34404163,9.240296001,8.187878639,2.529066712,0.434519111,1.264197906,38.5,89,42.4,104,61607,142,609223,454079,61305,61976,15680,2755,13428,447161,350324,41319,36613,11309,1943,5653
Nebraska 3rd,Republican,89.66463732,0.718510424,7.581217262,0.702249627,0.725448364,0.607937004,21.9,341,23.4,367,50009,283,609053,528842,4747,60069,4418,5133,5844,461232,413562,3314,34967,3239,3346,2804
Nevada 1st,Democratic,42.33554717,9.465988445,36.49834796,9.045666125,0.498261581,2.156188711,15.4,420,22.4,388,37299,420,674442,246051,63635,287756,55478,3099,18423,509371,215645,48217,185912,46076,2538,10983
Nevada 2nd,Republican,73.75918466,1.732589177,16.59694249,4.320310604,1.820528998,1.770444067,26,263,30.1,254,56823,187,675971,469069,11684,138087,27912,12641,16578,515125,379952,8925,85495,22255,9378,9120
Nevada 3rd,Democratic,64.37871478,5.905319388,13.51131709,13.07067025,0.415921554,2.718056937,31.8,158,33.9,197,64914,118,675469,412783,41181,105955,86223,2751,26576,521733,335885,30810,70493,68194,2170,14181
Nevada 4th,Democratic,54.73295266,13.19357304,23.01875687,5.994106034,0.770670776,2.289940611,19.8,376,24.7,348,54731,212,674669,334178,91558,184703,36890,5045,22295,489314,267816,64558,112634,29330,3771,11205
New Hampshire 1st,Democratic,93.66310654,0.998066065,2.21129457,1.925383143,0.178038659,1.024111021,36.3,107,36.3,169,71858,75,658233,607603,7643,18305,13357,1176,10149,514495,481892,5135,11377,9906,916,5269
New Hampshire 2nd,Democratic,93.45262957,0.835565848,2.245206813,2.171966096,0.234681131,1.059950538,35.1,117,34.6,188,68252,92,658237,607447,5982,18399,15213,1517,9679,514741,481039,4301,11557,11180,1208,5456
New Jersey 10th,Democratic,23.75621131,50.08155991,16.76271814,6.881752496,0.212343213,2.305414932,27.8,230,44.2,91,47184,325,735256,158829,377722,130777,47276,1650,19002,556646,132238,278777,93309,38307,1182,12833
New Jersey 11th,Republican,78.97531357,3.380578824,8.013118823,8.49231042,0.067366928,1.071311439,52,19,52.3,44,102205,6,732771,567938,24936,64056,63677,544,11620,564075,445480,19069,45200,47903,380,6043
New Jersey 12th,Democratic,53.925056,16.65277493,14.29879436,13.49313296,0.121188324,1.509053428,43.3,49,47.1,74,78982,48,730872,370303,125464,114457,104827,1054,14767,560285,302134,93303,80114,75600,679,8455
New Jersey 1st,Democratic,68.92658106,15.40932334,9.852451128,4.462015771,0.153330173,1.196298531,30.9,170,33.3,205,67318,95,731714,480423,119179,84785,32984,1128,13215,556968,383899,85825,54875,24852,854,6663
New Jersey 2nd,Republican,70.99454811,11.80054076,12.23243651,3.480164886,0.291121847,1.201187891,25.3,277,29.6,263,59105,164,732326,495309,90019,105485,26175,2089,13249,564025,400427,66558,68994,19629,1642,6775
New Jersey 3rd,Republican,79.99754983,9.76548417,5.585151998,3.175764364,0.120933163,1.35511647,32.3,151,33.3,205,71196,80,733895,571319,74882,47920,24343,888,14543,571390,457098,55799,31913,18146,691,7743
New Jersey 4th,Republican,80.46049185,6.235294762,8.492851132,3.778960991,0.093091345,0.939309919,38.7,87,41.1,119,78467,49,732848,578886,46412,69676,27558,643,9673,547849,440802,34160,46528,20703,510,5146
New Jersey 5th,Democratic,75.41259166,4.402168574,10.12513062,8.844171735,0.123433634,1.092503774,46.1,34,46.2,80,96349,13,734272,542510,32124,81017,66519,935,11167,559815,422171,24644,56682,49511,691,6116
New Jersey 6th,Democratic,55.15511964,9.020488432,17.56857428,16.47000879,0.111745453,1.674063404,38.5,89,37.7,153,75203,63,733855,381645,68724,143987,123372,1046,15081,566466,312435,51098,99520,93297,633,9483
New Jersey 7th,Republican,77.38561399,3.8699108,9.984804541,7.774705405,0.063923204,0.921042058,52.2,18,53.7,40,101746,7,732573,554527,28675,77840,59668,475,11388,547532,423711,21189,54670,42569,350,5043
New Jersey 8th,Democratic,30.39735365,8.628046171,50.27796068,8.55801021,0.114048585,2.024580701,31.9,157,49.1,60,55090,208,732104,203075,66204,387383,58044,987,16411,572563,174044,49401,287873,49000,653,11592
New Jersey 9th,Democratic,45.63450469,9.468112888,31.20651229,12.22395925,0.092833404,1.374077479,32.1,153,35.9,175,60867,152,729408,310114,71060,247761,87347,788,12338,559066,255127,52933,174465,68340,519,7682
New Mexico 1st,Democratic,46.85436849,2.405235846,43.4924223,2.239324594,3.490245793,1.518402975,31.6,159,47.4,70,47199,324,686391,288232,16016,329665,14776,24773,12929,523774,245411,12598,227802,11729,18281,7953
New Mexico 2nd,Republican,45.31934385,1.632892181,46.87458224,0.84357577,4.277053009,1.052552942,20.1,371,29.1,272,41232,395,686420,275624,10725,355689,5258,30590,8534,508668,230525,8306,238436,4291,21756,5354
New Mexico 3rd,Democratic,43.67787586,1.289008296,36.42998435,1.165795715,16.12490528,1.312430496,27.4,236,42.1,106,48061,312,686368,269954,8721,268049,7517,120005,12122,508065,221912,6549,185088,5923,81925,6668
New York 10th,Democratic,65.46006262,3.994857116,11.86150703,16.76531893,0.0864032,1.831851111,60.3,4,69.4,9,81834,35,716260,468129,26602,86976,118122,668,15763,580997,380321,23210,68915,97406,502,10643
New York 11th,Republican,66.82266067,6.339665876,13.90333998,11.47435886,0.121574761,1.338399846,34.4,125,38,151,66344,104,717007,460023,49361,112464,82346,937,11876,556859,372108,35303,77422,63896,677,7453
New York 12th,Democratic,68.48887863,4.457240586,12.32518146,12.57982221,0.100212438,2.048664677,71.5,1,77.9,1,93649,16,714002,477788,33212,95507,89018,784,17693,632656,433299,28199,77976,79587,634,12961
New York 13th,Democratic,14.11765974,27.11731665,52.61762471,4.251608117,0.197770102,1.698020682,31.5,160,71.4,5,39258,408,717786,88040,191448,395346,28345,1507,13100,556707,78594,150964,292926,23669,1101,9453
New York 14th,Democratic,27.54539152,9.815099208,44.82637579,15.73929603,0.139004677,1.934832782,25.6,272,38.6,143,52346,239,718956,180405,68716,340333,112822,1301,15379,569765,156944,55923,255405,89677,792,11024
New York 15th,Democratic,2.735135885,29.37273979,64.30888429,1.925671994,0.217376227,1.440191814,13.9,426,24.9,344,26047,435,717177,16683,207587,468193,12599,1750,10365,504655,13803,148231,324538,9718,1097,7268
New York 16th,Democratic,41.87504324,30.10017369,21.26533466,4.686242594,0.193173915,1.880031898,38.7,87,55,33,66325,105,720278,284884,217509,166839,33438,1479,16129,549246,229997,165324,116799,25739,1061,10326
New York 17th,Democratic,64.02509099,10.00103449,18.7149803,5.911429189,0.111348311,1.236116728,44.4,43,51.8,47,89905,22,712306,449438,69360,139459,41121,818,12110,531665,340399,53172,99501,31429,592,6572
New York 18th,Democratic,74.31511702,8.207407849,13.05957904,2.857004341,0.197465579,1.363426168,34.6,123,38.1,149,79540,47,719723,516970,60095,106451,20631,1359,14217,536296,398549,44016,70038,15322,1059,7312
New York 19th,Republican,87.91853204,4.015654185,5.389004396,1.328986122,0.208792892,1.139030363,28.3,225,29.1,272,58298,173,717341,619384,29089,45225,9806,1450,12387,568027,499401,22810,30611,7549,1186,6470
New York 1st,Republican,79.98343482,4.256887748,11.16329447,3.344710519,0.237373599,1.014298847,34.3,126,35.7,179,86645,25,717177,558724,32109,89960,24029,1735,10620,549345,439385,23385,61325,18374,1304,5572
New York 20th,Democratic,82.56775464,7.703228567,4.223957624,3.513393575,0.178922821,1.81274277,36.4,105,38,151,61393,148,717751,571278,61694,37650,26280,1338,19511,565607,467009,43570,23891,19872,1012,10253
New York 21st,Republican,92.146652,2.879019416,2.402723527,0.829947372,0.811559637,0.930098044,22.6,328,23.1,374,51580,251,718128,657759,18944,19159,5955,6217,10094,560156,516165,16127,13459,4649,4546,5210
New York 22nd,Republican,90.74699112,3.313321573,2.54669806,2.09607779,0.267811415,1.02910004,23.4,313,23.4,367,50416,274,717428,640110,25634,22476,15399,1873,11936,562336,510303,18632,14321,11787,1506,5787
